原始欄位代碼,欄位中文名稱,欄位英文名稱,三表來源,數值
tifrs-bsci-ci:LongtermNotesAndAccountsPayable,長期應付票據及帳款,Long-term Notes and Accounts Payable,資產負債表,0
ifrs-full:NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,待出售非流動資產,Noncurrent Assets Held for Sale,資產負債表,89969
ifrs-full:NoncurrentLeaseLiabilities,非流動租賃負債,Noncurrent Lease Liabilities,資產負債表,6074729
tifrs-bsci-ci:NotesReceivableNet,應收票據淨額,"Notes Receivable, Net",資產負債表,4029341
tifrs-bsci-ci:OrdinaryShare,普通股股本,Ordinary Share Capital,資產負債表,75231817
tifrs-bsci-ci:OtherCurrentAssetsOthers,其他流動資產－其他,Other Current Assets - Others,資產負債表,1570697
tifrs-bsci-ci:OtherCurrentLiabilitiesOthers,其他流動負債－其他,Other Current Liabilities - Others,資產負債表,1595539
tifrs-bsci-ci:OtherNoncurrentAssetsOthers,其他非流動資產－其他,Other Noncurrent Assets - Others,資產負債表,670513
tifrs-bsci-ci:OtherNoncurrentLiabilitiesOthers,其他非流動負債－其他,Other Noncurrent Liabilities - Others,資產負債表,2615575
tifrs-bsci-ci:PreferenceShare,特別股股本,Preference Share Capital,資產負債表,2000000
tifrs-bsci-ci:PrepaymentsForBusinessFacilities,預付設備款,Prepayments for Business Facilities,資產負債表,4437853
ifrs-full:RecognisedAssetsDefinedBenefitPlan,已認列確定福利資產,Recognised Assets for Defined Benefit Plan,資產負債表,1216610
tifrs-bsci-ci:OtherReceivablesDueFromRelatedParties,其他應收關係人款項,Other Receivables Due from Related Parties,資產負債表,2165215
tifrs-bsci-ci:OtherPayablesOthers,其他應付款－其他,Other Payables - Others,資產負債表,14994765
tifrs-bsci-ci:OtherPayablesToRelatedParties,應付關係人款項（非業務）,Other Payables to Related Parties,資產負債表,4337837
tifrs-bsci-ci:EquivalentIssueSharesOfAdvanceReceiptsForOrdinaryShare,預收股款換算股數（普通股）,Equivalent Issued Shares of Advance Receipts for Ordinary Shares,資產負債表,0
tifrs-bsci-ci:NumberOfSharesInEntityHeldByEntityAndByItsSubsidiaries,母子公司持有本公司股數,Number of Shares Held by Entity and Its Subsidiaries,資產負債表,30000000
tifrs-SCF:CashAndCashEquivalentsAtBeginningOfPeriod,期初現金及約當現金餘額,Cash and Cash Equivalents at Beginning of Period,現金流量表（累計數）,90165009
tifrs-SCF:CashAndCashEquivalentsAtEndOfPeriod,期末現金及約當現金餘額,Cash and Cash Equivalents at End of Period,現金流量表（累計數）,93299014
tifrs-SCF:CashFlowsFromUsedInFinancingActivities,籌資活動之淨現金流入（流出）,Cash Flows from (Used in) Financing Activities,現金流量表（累計數）,-8630717
ifrs-full:CashFlowsFromUsedInOperatingActivities,營業活動之淨現金流入（流出）,Cash Flows from (Used in) Operating Activities,現金流量表（累計數）,7903379
tifrs-SCF:DecreaseIncreaseInAccountsReceivable,應收帳款減少（增加）,(Increase) Decrease in Accounts Receivable,現金流量表（累計數）,-3462347
ifrs-full:EffectOfExchangeRateChangesOnCashAndCashEquivalents,匯率變動對現金及約當現金之影響,Effect of Exchange Rate Changes on Cash and Cash Equivalents,現金流量表（累計數）,89650
tifrs-SCF:IncreaseDecreaseInAccountsPayable,應付帳款增加（減少）,Increase (Decrease) in Accounts Payable,現金流量表（累計數）,-128417
ifrs-full:IncreaseDecreaseInCashAndCashEquivalents,本期現金及約當現金增加（減少）數,Net Increase (Decrease) in Cash and Cash Equivalents,現金流量表（累計數）,3134005
tifrs-SCF:IncreaseDecreaseInContractLiabilities,合約負債增加（減少）,Increase (Decrease) in Contract Liabilities,現金流量表（累計數）,1212535
ifrs-full:AdjustmentsForAmortisationExpense,攤銷費用調整,Adjustments for Amortisation Expense,現金流量表（累計數）,859572
ifrs-full:AdjustmentsForDecreaseIncreaseInInventories,存貨減少（增加）調整,Adjustments for Decrease (Increase) in Inventories,現金流量表（累計數）,-2972724
ifrs-full:AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,其他流動資產減少（增加）調整,Adjustments for Decrease (Increase) in Other Current Assets,現金流量表（累計數）,-262978
ifrs-full:AdjustmentsForDepreciationExpense,折舊費用調整,Adjustments for Depreciation Expense,現金流量表（累計數）,9018015
ifrs-full:AdjustmentsForDividendIncome,股利收入調整,Adjustments for Dividend Income,現金流量表（累計數）,-147494
